garuda-browser-settings 1.2.3-1
garuda-common-settings 2.6.16-1
garuda-dr460nized 3.0.2-1
garuda-dracut-support 1.0.1-1
garuda-fish-config 1.5.15-1
garuda-gamer 1.1.8-1
garuda-hooks 2.10.1-1
garuda-hotfixes 1.1.2-1
garuda-icons r38.be2c9ae-1
garuda-libs 1.4.1-1
garuda-migrations 2.3.1-1
garuda-network-assistant 1.1.2-1
garuda-nvidia-config 1:r63.2f652e8-3
garuda-settings-manager 1.0.2-2
garuda-settings-manager-kcm 1.0.2-2
garuda-setup-assistant 3.1.11-1
garuda-starship-prompt 1.0.3-1
garuda-system-maintenance 2.0.5-1
garuda-update 4.2.1-1
garuda-wallpapers r86.e1486a1-1
garuda-wallpapers-extra r9.ef73a85-1
garuda-welcome 1.2.1-1
gavl 1.4.0-7
gawk 5.2.2-1
gc 8.2.4-1
gcab 1.5-1
gcc 13.1.1-1
gcc-libs 13.1.1-1
gcr 3.41.1-4
gcr-4 4.1.0-1
gd 2.3.3-6
gdb 13.1-3
gdb-common 13.1-3
gdbm 1.23-2
gdk-pixbuf2 2.42.10-2
gegl 0.4.46-1
gendesk 1.0.9-3
geoclue 2.7.0-1
geoip 1.6.12-2
geoip-database 20230519-1
gettext 0.22-1
ghc-libs 9.0.2-3
ghostscript 10.01.2-1
giflib 5.2.1-2
gimp 2.10.34-2
girara 0.4.0-1
git 2.41.0-1
github-cli 2.31.0-1
github-desktop 3.2.5-1
glew 2.2.0-6
glew1.10 1.10.0-3
glib-networking 1:2.76.1-1
glib2 2.76.3-1
glibc 2.37-3
glibmm 2.66.6-1
glow 1.5.1-1
glslang 12.2.0-1
glu 9.0.2-3
gmp 6.2.1-2
gn 0.2088.5a004f94-1
gnome-boxes 44.2-1
gnome-disk-utility 44.0-1
gnome-firmware 43.2-1
gnome-keyring 1:42.1-3
gnu-netcat 0.7.1-9
gnupg 2.2.41-1
gnustep-base 1.29.0-2
gnutls 3.8.0-1
go 2:1.20.5-1
gobject-introspection 1.76.1-3
gobject-introspection-runtime 1.76.1-3
gperf 3.1-4
gperftools 2.10-3
gpgme 1.20.0-3
gpm 1.20.7.r38.ge82d1a6-5
gptfdisk 1.0.9-2
graphene 1.10.8-1
graphicsmagick 1.3.40-3
graphite 1:1.3.14-3
graphviz 8.0.5-2
grep 3.11-1
grim 1.4.1-1
groff 1.22.4-10
grub 2:2.06.r566.g857af0e17-1
grub-btrfs 4.13-1
grub-garuda 2.06-1
grub-theme-garuda-dr460nized r2.49d1e5e-1
gsettings-desktop-schemas 44.0-1
gsfonts 20200910-3
gsm 1.0.22-1
gspell 1.12.1-2
gssdp 1.6.2-1
gssproxy 0.9.1-2
gst-libav 1.22.4-1
gst-plugins-bad 1.22.4-1
gst-plugins-bad-libs 1.22.4-1
gst-plugins-base 1.22.4-1
gst-plugins-base-libs 1.22.4-1
gst-plugins-espeak 0.5.0-4
gst-plugins-good 1.22.4-1
gst-plugins-ugly 1.22.4-1
gstreamer 1.22.4-1
gstreamer-meta 1-4
gstreamer-vaapi 1.22.4-1
gtk-layer-shell 0.8.1-1
gtk-update-icon-cache 1:4.10.4-1
gtk-vnc 1.3.1-1
gtk2 2.24.33-3
gtk3 1:3.24.38-1
gtk4 1:4.10.4-1
gtkmm3 3.24.7-1
gtksourceview3 1:3.24.11+r28+g73e57b57-1
gtksourceview4 4.8.4-1
gts 0.7.6.121130-2
guile 3.0.9-1
guiscrcpy 1:2023.1.1-1.3
gulp 4.0.2-3
gumbo-parser 0.10.1-2
gupnp 1:1.6.4-1
gupnp-igd 1.6.0-1
gwe 0.15.5-3.5
gzip 1.12-2
hakuneko-desktop-nightly 8.3.4-1
handbrake 1.6.1-2
harfbuzz 7.3.0-2
harfbuzz-icu 7.3.0-2
haskell-aeson 2.1.2.1-5
haskell-aeson-pretty 0.8.9-135
haskell-ansi-terminal 0.11.4-26
haskell-ansi-wl-pprint 0.6.9-378
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-208
haskell-asn1-parse 0.9.5-208
haskell-asn1-types 0.3.4-187
haskell-assoc 1.0.2-186
haskell-async 2.2.4-161
haskell-attoparsec 0.14.4-54
haskell-attoparsec-iso8601 1.1.0.0-30
haskell-auto-update 0.1.6-307
haskell-base-compat 0.12.2-1
haskell-base-compat-batteries 0.12.2-46
haskell-base-orphans 0.8.7-54
haskell-base-unicode-symbols 0.2.4.2-13
haskell-base16-bytestring 1.0.2.0-60
haskell-base64 0.4.2.4-47
haskell-base64-bytestring 1.2.1.0-82
haskell-basement 0.0.15-1
haskell-bifunctors 5.5.15-7
haskell-bitvec 1.1.3.0-52
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-204
haskell-blaze-markup 0.8.2.8-110
haskell-boring 0.2.1-1
haskell-bsb-http-chunked 0.0.0.4-350
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-call-stack 0.4.0-145
haskell-case-insensitive 1.2.1.0-183
haskell-cereal 0.5.8.3-1
haskell-citeproc 0.8.1-37
haskell-cmdargs 0.10.22-1
haskell-colour 2.3.6-170
haskell-commonmark 0.2.3-1
haskell-commonmark-extensions 0.2.3.4-5
haskell-commonmark-pandoc 0.2.1.3-26
haskell-comonad 5.0.8-186
haskell-conduit 1.3.5-3
haskell-conduit-extra 1.3.6-82
haskell-connection 0.3.1-238
haskell-constraints 0.13.4-29
haskell-contravariant 1.5.5-3
haskell-cookie 0.4.6-1
haskell-crypton 0.31-2
haskell-crypton-connection 0.3.1-3
haskell-crypton-x509 1.7.6-3
haskell-crypton-x509-store 1.6.9-3
haskell-crypton-x509-system 1.6.7-3
haskell-crypton-x509-validation 1.6.12-3
haskell-cryptonite 0.30-51
haskell-data-array-byte 0.1.0.1-15
haskell-data-default 0.7.1.1-276
haskell-data-default-class 0.1.2.0-24
haskell-data-default-instances-containers 0.0.1-36
haskell-data-default-instances-dlist 0.0.1-289
haskell-data-default-instances-old-locale 0.0.1-36
haskell-data-fix 0.3.2-82
haskell-dec 0.0.5-3
haskell-digest 0.0.1.7-1
haskell-distributive 0.6.2.1-188
haskell-dlist 1.0-211
haskell-doclayout 0.4.0.1-2
haskell-doctemplates 0.11-25
haskell-easy-file 0.2.4-3
haskell-emojis 0.1.2-54
haskell-erf 2.0.0.0-24
haskell-fast-logger 3.1.2-24
haskell-file-embed 0.0.15.0-1
haskell-generically 0.1.1-1
haskell-ghc-bignum-orphans 0.1.1-1
haskell-glob 0.10.2-70
haskell-gridtables 0.1.0.0-21
haskell-haddock-library 1.10.0-222
haskell-hashable 1.4.2.0-23
haskell-hourglass 0.2.12-226
haskell-hslua 2.3.0-4
haskell-hslua-aeson 2.3.0-4
haskell-hslua-classes 2.3.0-8
haskell-hslua-core 2.3.1-2
haskell-hslua-list 1.1.1-14
haskell-hslua-marshalling 2.3.0-3
haskell-hslua-module-doclayout 1.1.0-5
haskell-hslua-module-path 1.1.0-4
haskell-hslua-module-system 1.1.0-3
haskell-hslua-module-text 1.1.0-3
haskell-hslua-module-version 1.1.0-4
haskell-hslua-module-zip 1.1.0-3
haskell-hslua-objectorientation 2.3.0-3
haskell-hslua-packaging 2.3.0-3
haskell-hslua-repl 0.1.1-2
haskell-hslua-typing 0.1.0-3
haskell-http-api-data 0.5.1-11
haskell-http-client 0.7.13.1-57
haskell-http-client-tls 0.3.6.1-104
haskell-http-date 0.0.11-116
haskell-http-media 0.8.0.0-185
haskell-http-types 0.12.3-304
haskell-http2 3.0.3-49
haskell-hunit 1.6.2.0-188
haskell-indexed-traversable 0.1.2.1-1
haskell-indexed-traversable-instances 0.1.1.2-2
haskell-integer-logarithms 1.0.3.1-6
haskell-iproute 1.7.12-61
haskell-ipynb 0.2-95
haskell-isocline 1.0.9-1
haskell-jira-wiki-markup 1.5.1-2
haskell-juicypixels 3.3.8-11
haskell-lexer 1.1.1-1
haskell-libyaml 0.1.2-300
haskell-lpeg 1.0.4-5
haskell-lua 2.3.1-2
haskell-memory 0.17.0-47
haskell-mime-types 0.1.1.0-1
haskell-mmorph 1.2.0-5
haskell-monad-control 1.0.3.1-82
haskell-mono-traversable 1.0.15.3-129
haskell-network 3.1.3.0-3
haskell-network-byte-order 0.1.6-158
haskell-network-uri 2.6.4.2-10
haskell-old-locale 1.0.0.7-30
haskell-old-time 1.1.0.3-30
haskell-onetuple 0.3.1-55
haskell-optparse-applicative 0.17.0.0-45
haskell-pandoc 3.1.2-6
haskell-pandoc-lua-engine 0.2-5
haskell-pandoc-lua-marshal 0.2.2-11
haskell-pandoc-server 0.1-76
haskell-pandoc-types 1.23-24
haskell-pem 0.2.4-264
haskell-pretty-show 1.10-14
haskell-primitive 0.7.4.0-71
haskell-psqueues 0.2.7.3-62
haskell-quickcheck 2.14.3-8
haskell-random 1.2.1.1-109
haskell-recv 0.1.0-9
haskell-resourcet 1.2.6-31
haskell-safe 0.3.19-8
haskell-safe-exceptions 0.1.7.3-38
haskell-scientific 0.3.7.0-93
haskell-semialign 1.2.0.1-118
haskell-semigroupoids 5.3.7-100
haskell-servant 0.19.1-41
haskell-servant-server 0.19.2-65
haskell-sha 1.6.4.4-19
haskell-simple-sendfile 0.2.31-11
haskell-singleton-bool 0.1.6-10
haskell-skylighting 0.13.2.1-29
haskell-skylighting-core 0.13.2.1-28
haskell-skylighting-format-ansi 0.1-63
haskell-skylighting-format-blaze-html 0.1.1-59
haskell-skylighting-format-context 0.1.0.2-28
haskell-skylighting-format-latex 0.1-63
haskell-socks 0.6.1-215
haskell-some 1.0.5-1
haskell-sop-core 0.5.0.2-1
haskell-split 0.2.3.5-26
haskell-splitmix 0.1.0.4-136
